2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,
Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Column2
263,3,3,1,10.7194,9/20/2017,6,6:00 AM,,248,3,3,1,14.2866,9/5/2018,6,6:00 AM,,269,3,4,1,16.2538,9/26/2019,6,6:00 AM
265,3,5,1,12.3507,9/22/2017,6,6:00 AM,,253,3,1,3,10.3202,9/10/2018,12,12:00 PM,,273,3,1,4,16.568,9/30/2019,15,3:00 PM
266,3,6,3,6.8108,9/23/2017,12,12:00 PM,,255,3,3,2,17.8765,9/12/2018,9,9:00 AM,,277,3,5,3,8.28861,10/4/2019,12,12:00 PM
275,3,1,2,16.9715,10/2/2017,9,9:00 AM,,258,3,6,4,7.56158,9/15/2018,15,3:00 PM,,277,3,5,2,15.2677,10/4/2019,9,9:00 AM
277,3,3,2,15.4311,10/4/2017,9,9:00 AM,,260,3,1,4,18.7001,9/17/2018,15,3:00 PM,,280,3,1,1,9.07438,10/7/2019,6,6:00 AM
279,3,5,2,11.8688,10/6/2017,9,9:00 AM,,262,3,3,4,13.8084,9/19/2018,15,3:00 PM,,283,3,4,4,16.5931,10/10/2019,15,3:00 PM
282,3,1,4,9.28341,10/9/2017,15,3:00 PM,,272,3,6,4,8.36299,9/29/2018,15,3:00 PM,,288,3,2,3,7.41549,10/15/2019,12,12:00 PM
282,3,1,4,17.5452,10/9/2017,15,3:00 PM,,276,3,3,3,9.11283,10/3/2018,12,12:00 PM,,288,3,2,2,13.5375,10/15/2019,9,9:00 AM
283,3,2,4,12.5358,10/10/2017,15,3:00 PM,,276,3,3,1,10.2408,10/3/2018,6,6:00 AM,,291,3,5,3,13.1076,10/18/2019,12,12:00 PM
284,3,3,2,14.5028,10/11/2017,9,9:00 AM,,276,3,3,1,11.6677,10/3/2018,6,6:00 AM,,292,3,6,1,7.82906,10/19/2019,6,6:00 AM
286,3,5,4,18.9285,10/13/2017,15,3:00 PM,,284,3,4,3,12.1673,10/11/2018,12,12:00 PM,,301,3,1,1,9.89488,10/28/2019,6,6:00 AM
289,3,1,3,14.8229,10/16/2017,12,12:00 PM,,289,3,2,2,11.077,10/16/2018,9,9:00 AM,,301,3,1,1,10.1,10/28/2019,6,6:00 AM
291,3,3,1,14.8645,10/18/2017,6,6:00 AM,,290,3,3,1,10.8278,10/17/2018,6,6:00 AM,,302,3,2,1,11.8064,10/29/2019,6,6:00 AM
292,3,4,4,17.65,10/19/2017,15,3:00 PM,,290,3,3,1,13.2932,10/17/2018,6,6:00 AM,,303,3,3,3,10.827,10/30/2019,12,12:00 PM
293,3,5,1,8.93708,10/20/2017,6,6:00 AM,,290,3,3,4,14.4347,10/17/2018,15,3:00 PM,,306,3,6,1,12.5729,11/2/2019,6,6:00 AM
294,3,6,1,14.0824,10/21/2017,6,6:00 AM,,291,3,4,3,16.4273,10/18/2018,12,12:00 PM,,306,3,6,3,13.0594,11/2/2019,12,12:00 PM
297,3,2,2,8.30057,10/24/2017,9,9:00 AM,,295,3,1,1,8.37109,10/22/2018,6,6:00 AM,,309,3,2,1,14.7342,11/5/2019,6,6:00 AM
298,3,3,4,18.2333,10/25/2017,15,3:00 PM,,298,3,4,3,12.6964,10/25/2018,12,12:00 PM,,315,3,1,3,14.0567,11/11/2019,12,12:00 PM
300,3,5,3,13.8593,10/27/2017,12,12:00 PM,,298,3,4,3,13.2254,10/25/2018,12,12:00 PM,,316,3,2,4,9.27629,11/12/2019,15,3:00 PM
